Species,Lat,Lon,P/A
Jaramun,-0.653616667,100.5708,P
Jaramun,-0.601883333,100.5545333,P
Jaramun,-0.587116667,100.565,P
Jaramun,-0.5737,100.5581167,P
Jaramun,-0.690566667,100.5625,P
Jaramun,-0.69905,100.5856667,P
Jaramun,-0.688833333,100.59795,P
Jaramun,-0.672633333,100.5505,P
Jaramun,-0.66515,100.5416667,P
Jaramun,-0.652466667,100.5223,P
Jaramun,-0.648433333,100.49675,P
Jaramun,-0.6037,100.4994333,P
Jaramun,-0.59985,100.4988,P
Jaramun,-0.568983333,100.4894833,P
Jaramun,-0.548116667,100.5861167,P
Jaramun,-0.560166667,100.55065,P
Jaramun,-0.54945,100.5359,P
Jaramun,-0.601293007,100.498679,P
Jaramun,-0.578015037,100.487896,P
Jaramun,-0.589961009,100.534893,P
Jaramun,-0.54323,100.5189,P
Jaramun,-0.67061,100.57656,P
Jaramun,-0.54323,100.52346,P
Jaramun,-0.64827,100.58549,P
Jaramun,-0.60862,100.50218,P
