Name,X,Y,Depth (cm),Temp ( C ),Turb (NTU),DO (mg/L),pH,Cond ,P/A,Secchi,TDS (mg/L),Substrat,Keterangan bilih
716,100.527187,-0.546292,81,28.3,105,17.42,8.04,0.153,P,dasar,0.099,batu berpasir,sedikit
717,100.527161,-0.546229,,,,,,,,,,,
718,100.527186,-0.546294,,,,,,,,,,,
719,100.527145,-0.546327,,,,,,,,,,,
720,100.527195,-0.546378,,,,,,,,,,,
721,100.527224,-0.546399,,,,,,,,,,,
722,100.527252,-0.54638,,,,,,,,,,,
723,100.527305,-0.546402,,,,,,,,,,,
724,100.527327,-0.54641,,,,,,,,,,,
725,100.52735,-0.546417,,,,,,,,,,,
726,100.527374,-0.546429,,,,,,,,,,,
727,100.527399,-0.546436,,,,,,,,,,,
728,100.52742,-0.546443,,,,,,,,,,,
729,100.527795,-0.546609,220,28.66,105,9.32,8.42,0.152,P,94,0.099,batu,sedikit
730,100.530622,-0.548708,82,29.18,103,6.77,8.52,0.152,P,dasar,0.099,batu berpasir,sedikit
731,100.530003,-0.548602,,,,,,,,,,,
732,100.53423,-0.549466,83,29.27,105,6.92,8.53,0.151,P,dasar,0.0998,batu berpasir,sedikit
733,100.534403,-0.549665,,,,,,,,dasar,0.099,batu berpasir,melimpah
734,100.538503,-0.552031,130,29.2,107,6.68,8.49,0.151,P,164,0.098,batu,sedikit
735,100.53878,-0.552165,,,,,,,,dasar,0.097,batu,"melimpah, juvenile"
736,100.540907,-0.553167,290,29.22,112,8.55,8.53,0.15,P,179,0.098,batu,sedikit
737,100.540789,-0.553096,,,,,,,,,,,
738,100.54588,-0.55739,143,29.41,119,9.85,8.5,0.151,P,169,0.098,batu,
739,100.545638,-0.557143,,,,,,,,,,,
740,100.546021,-0.557764,,,,,,,,,,,
741,100.550641,-0.560742,200,29.07,110,7.13,8.56,0.15,P,dasar,0.097,batu,
742,100.550739,-0.560766,,,,,,,,,,,
743,100.592013,-0.672327,312,29.01,115,9.5,8.41,0.15,P,144,0.098,batu,
744,100.592477,-0.672903,,,,,,,,,,,
